gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,gene_21,gene_22,gene_23,gene_24,gene_25,gene_26,gene_27,gene_28,gene_29,gene_30,gene_31,gene_32,gene_33,gene_34,gene_35,gene_36,gene_37,gene_38,gene_39,latency_ms,valid_loss
6,1,0,1,2,0,1,2,0,2,0,-1,-1,-1,-1,-1,1,1,0,1,0,0,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,45.97879350185394,1.5436065742616385
6,2,1,1,1,2,0,1,0,1,2,2,-1,-1,-1,-1,1,0,0,0,0,0,0,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,78.86509299278259,1.4892479820157751
6,2,1,1,1,2,0,1,0,1,2,2,0,-1,-1,-1,1,0,1,0,0,0,0,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,79.06343340873718,1.4345011670013794
6,4,0,0,2,2,2,2,2,1,1,2,0,-1,-1,-1,1,0,1,1,0,1,1,0,-1,1,-1,-1,0,1,1,1,-1,-1,1,2,-1,-1,-1,2,142.31926202774048,1.4255744591601724
6,1,0,1,0,1,0,1,2,2,0,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,47.04814255237579,1.498107427546915
6,4,1,0,0,0,1,0,0,1,0,2,0,1,-1,-1,1,0,1,0,0,0,1,1,1,1,-1,-1,1,1,1,0,-1,-1,2,1,0,0,-1,-1,142.8888201713562,1.3729732775040462
6,1,1,1,1,0,0,0,1,2,0,0,0,1,-1,-1,1,0,1,0,0,1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,0,0,1,-1,-1,0,-1,2,44.601765275001526,1.6114156332373577
6,4,1,0,1,2,0,1,0,1,2,2,0,-1,-1,-1,1,0,1,0,0,0,0,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,0,1,-1,142.69490242004397,1.4243365286787184
6,2,1,1,1,2,0,1,0,1,2,2,-1,-1,-1,-1,1,0,1,0,0,0,0,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,79.06343340873718,1.4345011670013794
