gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,gene_21,gene_22,gene_23,gene_24,gene_25,gene_26,gene_27,gene_28,gene_29,gene_30,gene_31,gene_32,gene_33,gene_34,gene_35,gene_36,gene_37,gene_38,gene_39,latency_ms,valid_loss
6,2,1,1,0,0,1,1,0,1,1,1,-1,-1,-1,-1,0,0,1,1,0,1,0,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,75.42169690132141,1.3909476944521457
6,1,1,1,0,0,1,0,1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,39.7870272397995,2.3328359146551616
6,1,1,1,0,0,1,0,1,1,0,-1,-1,-1,-1,-1,0,1,1,1,0,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,44.30685341358185,1.5105198849932027
6,1,1,1,0,0,0,0,0,0,2,-1,-1,-1,-1,-1,0,0,0,1,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,38.68463933467865,2.432652353992845
6,4,0,0,2,1,1,1,2,0,2,1,2,1,-1,-1,0,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,0,0,2,2,-1,-1,141.05618000030518,1.3061772827976674
6,1,1,1,0,0,1,1,1,0,0,-1,-1,-1,-1,-1,0,0,1,1,0,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,44.12103593349457,1.5229871376908504
6,1,1,1,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,0,1,0,1,0,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,41.638749837875366,2.240477709663838
6,1,1,1,0,2,0,2,2,0,1,-1,-1,-1,-1,-1,1,1,1,1,1,0,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,44.84546482563019,1.495243175525614
6,2,1,1,0,0,0,1,0,0,1,1,-1,-1,-1,-1,0,0,1,1,1,0,0,0,-1,-1,-1,-1,1,1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,73.60230088233948,1.4288039727894783
6,5,0,0,2,2,2,0,2,2,2,1,2,1,0,-1,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,0,-1,0,0,2,2,1,-1,173.5127568244934,1.301269156989976
6,1,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,1,0,0,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,39.61656391620636,2.3435369988969335
6,1,1,0,1,1,1,1,2,0,2,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,46.60903513431549,1.4718315221329226
6,3,0,1,2,1,2,2,2,2,2,1,2,-1,-1,-1,0,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,0,2,0,-1,-1,-1,109.56798791885376,1.3175148961718968
