gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,gene_21,gene_22,gene_23,gene_24,gene_25,gene_26,gene_27,gene_28,gene_29,gene_30,gene_31,gene_32,gene_33,gene_34,gene_35,gene_36,gene_37,gene_38,gene_39,bleu
6,4,0,0,2,1,1,1,2,0,2,1,2,1,-1,-1,0,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,0,0,2,2,-1,-1,33.67
6,1,1,1,0,0,1,1,1,0,0,-1,-1,-1,-1,-1,0,0,1,1,0,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,29.81
6,1,1,1,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,0,1,0,1,0,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,10.34
6,1,1,1,0,2,0,2,2,0,1,-1,-1,-1,-1,-1,1,1,1,1,1,0,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,29.95
6,2,1,1,0,0,0,1,0,0,1,1,-1,-1,-1,-1,0,0,1,1,1,0,0,0,-1,-1,-1,-1,1,1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,31.22
6,5,0,0,2,2,2,0,2,2,2,1,2,1,0,-1,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,0,-1,0,0,2,2,1,-1,33.52
6,1,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,1,0,0,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,9.13
6,1,1,0,1,1,1,1,2,0,2,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,30.95
6,3,0,1,2,1,2,2,2,2,2,1,2,-1,-1,-1,0,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,0,2,0,-1,-1,-1,33.41
6,2,1,0,1,0,2,1,0,1,2,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,32.97
6,1,1,1,0,1,0,1,0,0,0,-1,-1,-1,-1,-1,0,1,0,1,0,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,10.42
6,2,1,1,0,0,0,1,0,0,1,1,-1,-1,-1,-1,0,0,1,1,1,0,0,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,31.9
6,2,1,0,1,0,2,2,2,0,2,1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,32.91
6,2,1,1,0,0,0,2,0,1,1,1,-1,-1,-1,-1,0,1,1,1,1,1,0,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,32.81
6,1,1,1,1,0,2,2,0,0,1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,30.46
