gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,gene_21,gene_22,gene_23,gene_24,gene_25,gene_26,gene_27,gene_28,gene_29,gene_30,gene_31,gene_32,gene_33,gene_34,gene_35,gene_36,gene_37,gene_38,gene_39,bleu
6,1,1,1,0,0,1,2,0,1,0,-1,-1,-1,-1,-1,0,0,0,1,0,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,10.21
6,1,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,1,0,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,9.99
6,5,0,1,0,2,1,2,2,2,2,0,2,1,1,-1,1,1,1,1,1,1,1,1,1,0,0,-1,1,1,1,1,1,-1,0,0,0,0,1,-1,33.37
6,5,0,0,1,1,2,1,2,2,2,1,1,1,1,-1,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,0,-1,0,1,1,2,1,-1,33.55
6,4,0,0,1,1,1,1,2,0,2,1,2,1,-1,-1,0,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,0,0,2,2,-1,-1,33.68
6,1,1,1,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0,0,0,1,0,0,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,28.33
6,2,1,1,0,0,2,0,1,0,1,1,-1,-1,-1,-1,0,1,1,1,0,0,0,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,32.01
6,1,1,1,0,1,0,2,0,0,0,-1,-1,-1,-1,-1,0,1,0,1,0,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,10.48
6,1,1,1,0,0,1,0,1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,8.25
6,1,1,1,0,0,1,1,1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,9.1
6,5,0,0,2,1,2,1,2,0,2,2,2,1,1,-1,0,1,1,1,1,1,1,1,1,1,0,-1,1,1,1,1,0,-1,0,0,0,2,1,-1,33.52
6,5,0,0,2,2,2,0,2,2,2,1,2,1,0,-1,0,1,1,1,0,1,1,1,1,1,1,-1,1,1,1,1,0,-1,0,1,2,2,1,-1,33.25
6,5,0,0,1,1,1,0,2,2,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,0,-1,0,1,1,2,1,-1,33.57
6,1,1,1,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0,0,1,1,1,0,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,29.74
6,1,1,1,0,1,1,2,0,0,0,-1,-1,-1,-1,-1,0,1,1,1,0,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,30.24
6,1,1,1,0,1,1,0,1,0,0,-1,-1,-1,-1,-1,0,0,0,1,0,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,9.99
6,1,1,1,1,1,2,2,0,1,1,-1,-1,-1,-1,-1,0,1,1,1,0,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,30.24
6,1,1,1,0,0,0,2,1,0,0,-1,-1,-1,-1,-1,0,0,0,1,0,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,9.98
6,4,0,0,1,1,1,1,2,0,2,1,2,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,0,2,0,2,-1,-1,33.64
6,4,0,0,1,1,2,1,2,2,2,1,2,1,-1,-1,0,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,0,2,0,2,-1,-1,33.66
6,1,1,1,0,0,1,0,0,0,2,-1,-1,-1,-1,-1,0,0,0,1,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,9.78
6,2,1,1,0,0,0,0,0,1,1,0,-1,-1,-1,-1,0,0,1,1,0,1,0,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,31.92
6,1,1,1,0,1,0,0,0,0,2,-1,-1,-1,-1,-1,0,0,0,1,0,1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,10.6
6,2,1,1,0,2,1,1,0,1,1,1,-1,-1,-1,-1,0,1,1,1,1,1,0,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,32.78
6,2,1,1,1,0,2,2,0,0,2,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,2,-1,-1,-1,-1,32.97
6,1,1,1,0,0,1,0,0,0,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,9.02
6,2,0,1,0,2,2,2,0,2,2,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,2,-1,-1,-1,-1,32.94
6,4,0,0,1,1,2,1,0,2,1,1,2,1,-1,-1,0,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,0,1,2,2,-1,-1,33.69
6,3,0,1,2,1,2,2,2,0,2,1,2,-1,-1,-1,0,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,0,2,0,-1,-1,-1,33.47
6,1,0,0,1,1,2,2,2,1,2,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,30.99
6,1,1,1,0,1,1,2,0,0,0,-1,-1,-1,-1,-1,0,1,1,1,0,0,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,29.57
6,2,1,1,0,1,2,2,0,0,1,1,-1,-1,-1,-1,0,1,1,1,0,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,32.52
6,2,1,0,0,2,2,2,0,0,2,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,32.89
6,2,1,1,0,1,0,1,0,0,1,1,-1,-1,-1,-1,0,0,1,1,0,1,0,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,32.07
6,5,0,0,1,1,2,1,0,0,1,1,2,0,1,-1,0,1,1,1,1,1,1,1,1,1,0,-1,1,1,1,1,0,-1,0,1,0,2,1,-1,33.63
