gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,gene_21,gene_22,gene_23,gene_24,gene_25,gene_26,gene_27,gene_28,gene_29,gene_30,gene_31,gene_32,gene_33,gene_34,gene_35,gene_36,gene_37,gene_38,gene_39,latency_ms,valid_loss
6,1,1,0,0,1,1,0,0,2,1,-1,-1,-1,-1,-1,0,1,1,1,0,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,46.19499146938324,1.4834629923581866
6,4,1,0,2,1,1,2,2,0,2,1,2,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,2,2,0,0,-1,-1,140.97856283187866,1.3101908198783394
6,1,1,1,2,0,0,0,0,1,2,-1,-1,-1,-1,-1,0,1,0,0,0,1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,40.33290445804596,2.3980892270940783
6,2,1,1,0,0,1,0,0,0,1,1,-1,-1,-1,-1,1,0,1,1,0,0,0,0,-1,-1,-1,-1,1,1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,73.60230088233948,1.4385836536657384
6,1,0,0,0,0,2,1,1,1,2,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,46.50850594043732,1.4729998866858485
6,1,0,0,0,0,2,1,1,0,2,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,46.54900133609772,1.4727332697181192
6,2,1,1,0,2,1,1,2,1,1,1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,77.1578848361969,1.3578956641613276
6,4,0,0,2,2,1,2,0,1,2,1,1,2,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,2,1,0,1,-1,-1,141.57315492630005,1.307939766837404
6,1,1,0,1,0,0,2,1,0,0,-1,-1,-1,-1,-1,0,1,0,1,0,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,43.39987337589264,2.2615198782472263
6,1,1,0,0,0,0,1,0,0,1,-1,-1,-1,-1,-1,1,1,1,1,0,1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,40.36950170993805,2.3311808344673706
