gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,gene_21,gene_22,gene_23,gene_24,gene_25,gene_26,gene_27,gene_28,gene_29,gene_30,gene_31,gene_32,gene_33,gene_34,gene_35,gene_36,gene_37,gene_38,gene_39,latency_ms,valid_loss
6,2,1,1,0,1,0,0,0,0,1,-1,-1,-1,-1,-1,0,0,1,1,1,1,0,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,75.25476217269897,1.3998071364240643
6,2,1,0,1,0,2,2,2,0,1,2,1,1,-1,-1,0,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,1,0,-1,-1,2,78.73584628105164,1.355164317663418
6,1,1,1,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,0,1,1,1,1,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,44.29543912410736,1.5131375727042076
6,4,0,0,2,1,0,1,2,2,1,2,1,2,-1,-1,0,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,0,0,2,2,0,-1,141.85677766799927,1.3101403192806975
6,1,1,1,1,0,1,2,2,0,1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,0,-1,-1,1,0,-1,44.850900769233704,1.485495679538751
6,2,1,1,0,0,0,1,0,0,1,0,-1,2,-1,-1,0,1,1,1,1,1,0,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,2,1,-1,1,-1,-1,75.9006142616272,1.3873750695590776
6,1,1,0,0,0,2,2,2,0,1,-1,-1,-1,-1,-1,0,1,1,1,0,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,2,-1,-1,2,1,45.887866616249084,1.480280967870549
6,4,0,0,2,1,1,1,0,0,1,2,1,-1,-1,-1,0,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,0,-1,0,-1,2,-1,-1,-1,144.9987769126892,1.3096194100331293
6,1,1,1,0,1,1,1,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,39.195844531059265,2.3954703571880516
6,1,1,1,0,0,1,0,0,0,1,-1,-1,-1,-1,-1,0,1,1,1,1,1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,2,43.663421273231506,1.517608761757042
