gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,gene_21,gene_22,gene_23,gene_24,gene_25,gene_26,gene_27,gene_28,gene_29,gene_30,gene_31,gene_32,gene_33,gene_34,gene_35,gene_36,gene_37,gene_38,gene_39,latency_ms,valid_loss
6,1,0,1,2,0,1,2,0,2,0,-1,-1,-1,-1,-1,1,1,0,1,0,0,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,45.97879350185394,1.5436065742616385
6,2,1,1,1,2,0,1,0,1,2,2,-1,-1,-1,-1,1,0,0,0,0,0,0,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,78.86509299278259,1.4892479820157751
6,1,0,1,1,0,0,0,1,2,0,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,44.776418805122375,2.291669498779417
6,1,0,1,2,0,1,2,0,2,0,-1,-1,-1,-1,-1,1,1,0,1,0,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,46.18795216083527,1.5293962388875475
6,1,0,1,1,0,0,0,1,2,0,-1,-1,-1,-1,-1,1,1,1,1,1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,44.40676271915436,2.34065740800727
6,4,0,0,2,0,1,2,0,2,0,2,2,1,-1,-1,1,1,0,1,0,0,1,0,1,1,-1,-1,1,1,1,0,-1,-1,0,2,2,0,-1,-1,141.2496566772461,1.370855179420786
6,6,0,1,2,1,1,2,0,0,0,0,1,1,2,2,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,2,200.11873245239258,1.3573114344478736
