vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,accuracy,latency,memory
2,1,2,0,1,0,1,1,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.51875000000001,0.0147521686553955,4853.87
4,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,-1,73.45375,0.0317215991020202,5364.87
2,0,1,1,0,1,1,1,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.46125,0.0127203774452209,4855.35
2,0,0,1,0,1,0,2,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.2375,0.01708918094635,5107.36
2,0,1,0,1,1,0,1,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60.3175,0.011657395362854,4852.72
4,1,2,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,-1,73.22375,0.0333023262023925,5287.02
2,1,2,0,0,0,1,2,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.2375,0.0195644283294677,5103.95
4,1,2,0,0,1,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,-1,71.9025,0.0312014460563659,5596.12
4,1,2,1,0,0,0,2,1,1,1,1,0,0,1,1,0,2,0,1,0,1,-1,73.31,0.0364837765693664,5596.12
2,1,1,1,0,0,1,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.39750000000001,0.0136111164093017,4774.79
4,0,1,1,0,1,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,-1,69.305,0.0224697566032409,5229.14
4,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,-1,73.505,0.0279534125328063,5233.69
2,0,2,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.5175,0.0106197237968444,4856.16
4,0,2,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,-1,68.79875,0.0212944865226745,5299.94
4,1,1,0,1,1,1,2,0,1,0,1,1,0,1,1,1,1,0,1,0,0,-1,73.39250000000001,0.0281404995918273,5310.53
4,1,2,1,1,1,0,0,1,0,1,0,0,1,0,0,0,2,1,1,1,0,-1,73.79125,0.0402389192581176,5596.12
4,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,2,1,0,0,1,-1,73.2425,0.0272403526306152,5624.66
2,0,2,1,1,1,0,1,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.75875,0.0212174129486083,4858.9
4,1,1,1,0,0,0,2,1,1,1,0,0,0,0,1,1,2,0,1,1,0,-1,73.03,0.0368723177909851,5615.62
2,0,2,1,0,1,0,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.78625,0.0166558623313903,4836.12
2,0,1,1,1,1,0,1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.42875,0.0116716790199279,4848.4
2,1,1,1,0,1,0,1,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68.34875,0.0172148942947387,4854.77
2,1,2,1,0,1,1,1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.41,0.0206943321228027,4845.45
2,1,0,0,1,0,0,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68.63874999999999,0.0067774152755737,4768.69
4,1,2,0,1,1,0,2,0,0,0,0,1,0,1,0,0,1,0,0,1,0,-1,72.435,0.029521906375885,5305.96
4,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,-1,68.06375,0.0173141193389892,5307.09
2,0,2,0,0,0,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.61375,0.0157438039779663,4858.9
2,1,0,0,0,0,1,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.95500000000001,0.0142845916748046,4688.69
4,0,1,0,1,0,0,1,1,1,1,0,2,1,1,0,1,0,1,0,1,1,-1,70.78,0.0293418169021606,5370.1
4,0,0,0,1,0,0,0,0,1,1,1,2,1,0,0,1,2,1,0,0,1,-1,70.75375,0.0294587779045105,5606.23
4,0,1,1,0,0,0,2,0,0,1,1,1,0,0,0,0,0,1,0,1,0,-1,69.8225,0.0284316492080688,5229.14
2,1,0,1,1,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.77375,0.014994511604309,4688.69
4,1,2,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-1,73.0975,0.0288010168075561,5278.35
4,0,1,0,0,1,1,2,1,0,0,0,1,0,1,1,1,0,1,0,1,1,-1,69.96375,0.0359030032157897,5278.19
4,0,1,1,1,1,0,2,1,0,1,0,0,1,0,0,1,0,0,1,1,1,-1,70.92750000000001,0.035871946811676,5286.62
2,1,2,1,0,0,1,1,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.49375,0.0162154507637023,4841.56
4,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,2,1,1,0,1,-1,70.85625,0.0229091763496398,5612.55
2,1,0,1,0,0,0,1,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.56875,0.0087273526191711,4853.39
2,1,0,0,0,0,0,0,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68.33375000000001,0.0148563337326049,4688.69
2,1,1,0,1,1,1,2,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.985,0.0157196760177612,5081.71
4,1,1,1,1,1,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,-1,72.37750000000001,0.0228597855567932,5372.18
4,1,1,1,1,1,0,2,0,0,0,1,2,0,0,1,0,2,1,1,1,0,-1,71.12,0.0390991926193237,5616.42
2,0,1,1,0,1,0,0,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.01375,0.0185838818550109,4715.38
4,0,2,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,-1,69.6,0.0316813731193542,5291.18
4,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,-1,73.10625,0.0243144679069519,5361.95
2,0,1,1,0,0,1,1,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.07499999999999,0.0096165490150451,4847.99
4,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,2,0,1,1,1,-1,73.05375,0.0343025207519531,5609.59
4,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,-1,73.33,0.0334562110900878,5205.12
4,0,2,1,0,1,1,2,0,1,1,0,1,1,0,0,0,1,1,0,1,0,-1,70.71375,0.0356172251701355,5301.97
2,0,0,0,0,0,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.02125000000001,0.0089911913871765,4712.51
