vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,accuracy,latency
2,0,1,0,1,1,0,1,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60.3175,2.1893915917873383
4,1,2,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,-1,73.22375,2.970427483558655
2,1,2,0,0,0,1,2,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.2375,2.228883965730667
4,1,2,0,0,1,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,-1,71.9025,2.8766916272640226
4,1,2,1,0,0,0,2,1,1,1,1,0,0,1,1,0,2,0,1,0,1,-1,73.31,3.570969483613968
2,1,1,1,0,0,1,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.39750000000001,2.7917598922252655
4,0,1,1,0,1,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,-1,69.305,2.3463546986579895
4,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,-1,73.505,3.523214074611664
2,0,2,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.5175,1.3825526196956635
4,0,2,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,-1,68.79875,2.4228867955207827
4,1,1,0,1,1,1,2,0,1,0,1,1,0,1,1,1,1,0,1,0,0,-1,73.39250000000001,3.495568860769272
4,1,2,1,1,1,0,0,1,0,1,0,0,1,0,0,0,2,1,1,1,0,-1,73.79125,3.745043653011322
4,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,2,1,0,0,1,-1,73.2425,2.2410263702869417
2,0,2,1,1,1,0,1,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.75875,2.63799716591835
4,1,1,1,0,0,0,2,1,1,1,0,0,0,0,1,1,2,0,1,1,0,-1,73.03,3.693066996574402
2,0,2,1,0,1,0,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.78625,2.0100410146713257
2,0,1,1,1,1,0,1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.42875,2.2712618980407715
2,1,1,1,0,1,0,1,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68.34875,1.8875458652973176
2,1,2,1,0,1,1,1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.41,2.394949813604355
2,1,0,0,1,0,0,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68.63874999999999,2.0598348178863524
4,1,2,0,1,1,0,2,0,0,0,0,1,0,1,0,0,1,0,0,1,0,-1,72.435,3.186336708068848
4,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,-1,68.06375,1.8511267464160919
2,0,2,0,0,0,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.61375,2.2388781518936156
2,1,0,0,0,0,1,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.95500000000001,2.1928063707351684
4,0,1,0,1,0,0,1,1,1,1,0,2,1,1,0,1,0,1,0,1,1,-1,70.78,2.815825943231583
4,0,0,0,1,0,0,0,0,1,1,1,2,1,0,0,1,2,1,0,0,1,-1,70.75375,2.0129810118675233
4,0,1,1,0,0,0,2,0,0,1,1,1,0,0,0,0,0,1,0,1,0,-1,69.8225,2.5027880692481994
2,1,0,1,1,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.77375,2.2342709400653837
4,1,2,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-1,73.0975,2.816848474740982
4,0,1,0,0,1,1,2,1,0,0,0,1,0,1,1,1,0,1,0,1,1,-1,69.96375,2.3037153582572936
4,0,1,1,1,1,0,2,1,0,1,0,0,1,0,0,1,0,0,1,1,1,-1,70.92750000000001,3.1683747565746305
2,1,2,1,0,0,1,1,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.49375,2.2513399217128756
4,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,2,1,1,0,1,-1,70.85625,2.0413503625392915
2,1,0,1,0,0,0,1,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.56875,2.0866208939552306
2,1,0,0,0,0,0,0,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68.33375000000001,2.5167676277160647
2,1,1,0,1,1,1,2,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.985,2.539562323331833
4,1,1,1,1,1,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,-1,72.37750000000001,2.4534101042747496
4,1,1,1,1,1,0,2,0,0,0,1,2,0,0,1,0,2,1,1,1,0,-1,71.12,3.718958641290665
2,0,1,1,0,1,0,0,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.01375,2.1619456260204317
4,0,2,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,-1,69.6,2.7578485405445097
4,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,-1,73.10625,2.254259490728378
2,0,1,1,0,0,1,1,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.07499999999999,1.855770203113556
4,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,2,0,1,1,1,-1,73.05375,3.709089297533035
4,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,-1,73.33,3.489727515935898
